year,champion,n_teams,efg_margin,tov_edge,reb_edge,ftr_margin,raw_wz,raw_ffi,adj_efg_margin,adj_tov_edge,adj_reb_edge,adj_ftr_margin,adj_wz,adj_ffi,delta,sos_off,sos_def
2008,Kansas,341,11.52,4.23,8.98,6.66,1.843,86.9,14.22,5.37,10.77,8.48,2.032,90.6,3.8,1.0244,0.9706
2009,North Carolina,344,5.46,3.6,8.67,14.24,1.319,76.4,8.4,4.68,10.82,16.19,1.609,82.2,5.8,1.0342,0.976
2010,Duke,347,6.48,5.56,7.96,3.41,1.576,81.5,9.83,6.97,10.55,5.99,1.92,88.4,6.9,1.0329,0.9614
2011,Connecticut,345,2.8,0.59,4.84,6.91,0.544,60.9,6.73,2.08,7.98,9.53,1.116,72.3,11.4,1.0455,0.9616
2012,Kentucky,345,11.81,0.91,7.41,14.41,1.453,79.1,14.07,1.73,9.05,15.99,1.646,82.9,3.9,1.0266,0.9799
2013,Louisville,347,5.5,8.91,4.69,5.18,1.802,86.0,8.05,10.14,6.66,7.17,2.082,91.6,5.6,1.0301,0.9758
2014,Connecticut,351,7.51,1.98,-2.21,3.05,0.963,69.3,9.98,2.9,-0.58,4.95,1.225,74.5,5.2,1.0309,0.98
2015,Duke,351,9.53,1.88,7.3,15.33,1.402,78.0,13.11,3.17,9.61,17.49,1.787,85.7,7.7,1.0267,0.9565
2016,Villanova,351,8.0,3.99,-0.09,2.86,1.373,77.5,13.03,5.74,2.72,6.13,1.947,88.9,11.5,1.0596,0.9613
2017,North Carolina,351,3.8,2.27,16.88,1.65,1.176,73.5,6.92,3.41,18.83,3.64,1.529,80.6,7.1,1.0223,0.9599
2018,Villanova,351,10.43,3.84,2.04,3.12,1.587,81.7,14.1,4.92,3.9,4.93,1.928,88.6,6.8,1.0372,0.9707
2019,Virginia,353,12.18,3.11,4.04,2.38,1.709,84.2,15.27,3.98,5.74,4.12,1.919,88.4,4.2,1.0457,0.9874
2021,Baylor,347,8.42,7.02,6.61,-4.69,1.845,86.9,11.5,8.23,8.6,-3.01,2.051,91.0,4.1,1.0307,0.9731
2022,Kansas,358,7.19,0.6,4.51,5.09,0.936,68.7,12.68,2.51,7.9,8.39,1.627,82.5,13.8,1.0642,0.957
2023,Connecticut,363,8.03,0.58,12.93,-7.31,1.23,74.6,11.11,1.69,15.07,-5.32,1.539,80.8,6.2,1.0439,0.984
2024,Connecticut,362,12.03,1.27,9.63,0.8,1.614,82.3,14.27,1.97,11.02,2.26,1.696,83.9,1.6,1.0199,0.9754
2025,Florida,364,9.68,1.98,9.37,-0.4,1.432,78.6,13.36,3.13,11.84,1.98,1.724,84.5,5.8,1.0411,0.9686
