year,champion,n_teams,efg_margin,tov_edge,reb_edge,ftr_margin,z_efg,z_tov,z_reb,z_ftr,weighted_z,raw_ffi,adj_oe,adj_de
2008,Kansas,341,11.52,4.23,8.98,6.66,2.431,1.355,1.843,0.892,1.843,86.9,121.11,85.93
2009,North Carolina,344,5.46,3.6,8.67,14.24,1.231,1.209,1.693,1.949,1.319,76.4,121.81,93.138
2010,Duke,347,6.48,5.56,7.96,3.41,1.438,1.827,1.583,0.473,1.576,81.5,119.14,88.05
2011,Connecticut,345,2.8,0.59,4.84,6.91,0.674,0.228,0.957,0.94,0.544,60.9,113.82,93.94
2012,Kentucky,345,11.81,0.91,7.41,14.41,2.536,0.316,1.485,1.853,1.453,79.1,119.73,88.59
2013,Louisville,347,5.5,8.91,4.69,5.18,1.193,2.831,0.935,0.722,1.802,86.0,112.621,83.51
2014,Connecticut,351,7.51,1.98,-2.21,3.05,1.751,0.719,-0.413,0.406,0.963,69.3,111.655,92.811
2015,Duke,351,9.53,1.88,7.3,15.33,2.044,0.68,1.438,2.053,1.402,78.0,124.62,93.132
2016,Villanova,351,8.0,3.99,-0.09,2.86,1.84,1.486,0.006,0.435,1.373,77.5,118.91,90.44
2017,North Carolina,351,3.8,2.27,16.88,1.65,0.847,0.834,3.355,0.276,1.176,73.5,121.08,93.122
2018,Villanova,351,10.43,3.84,2.04,3.12,2.248,1.445,0.439,0.504,1.587,81.7,127.71,95.427
2019,Virginia,353,12.18,3.11,4.04,2.38,2.747,1.107,0.864,0.403,1.709,84.2,122.63,88.76
2021,Baylor,347,8.42,7.02,6.61,-4.69,1.845,2.329,1.225,-0.662,1.845,86.9,123.33,93.537
2022,Kansas,358,7.19,0.6,4.51,5.09,1.656,0.222,0.943,0.861,0.936,68.7,120.25,92.924
2023,Connecticut,363,8.03,0.58,12.93,-7.31,1.98,0.223,2.685,-1.191,1.23,74.6,118.96,92.515
2024,Connecticut,362,12.03,1.27,9.63,0.8,2.815,0.454,1.937,0.152,1.614,82.3,126.81,94.113
2025,Florida,364,9.68,1.98,9.37,-0.4,2.202,0.685,1.806,-0.037,1.432,78.6,126.84,94.214
