year,season,date,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd,adj_tempo,wab,is_marked_champion,scraped_at
2008,2007-08,20080316,1,"Kansas1 seed, 2007-08","Kansas1 seed, 2007-08",B12,33.0,30–313–3,121.11,85.93,0.98101,56.34,44.818,18.741,22.97,38.017,29.034,37.514,30.856,54.87,40.94,39.913,34.0106,29.2287,38.1283,69.591,9.93,True,2026-01-19 15:58:32
2009,2008-09,20090315,4,"North Carolina1 seed, 2008-09","North Carolina1 seed, 2008-09",ACC,31.0,27–413–3,121.81,93.138,0.95644,52.743,47.281,17.114,20.7162,40.58,31.9135,39.395,25.16,51.551,44.751,37.353,35.0215,27.7292,32.7162,74.57,7.75,True,2026-01-19 15:58:32
2010,2009-10,20100314,2,"Duke1 seed, 2009-10","Duke1 seed, 2009-10",ACC,34.0,29–513–3,119.14,88.05,0.97012,50.394,43.913,16.415,21.975,40.48,32.5164,37.9162,34.5104,46.8206,44.444,38.227,28.23,32.8155,24.77,67.2182,8.43,True,2026-01-19 15:58:32
2011,2010-11,20110313,18,"Connecticut3 seed, 2010-11","Connecticut3 seed, 2010-11",BE,35.0,26–99–9,113.82,93.94,0.900518,48.1211,45.323,17.534,18.1281,39.57,34.7268,34.3263,27.415,47.5181,43.118,33.2221,33.5119,29.3258,31.1108,66.2194,6.81,True,2026-01-19 15:58:32
2012,2011-12,20120311,1,"Kentucky1 seed, 2011-12","Kentucky1 seed, 2011-12",SEC,34.0,32–216–0,119.73,88.59,0.97021,53.425,41.61,17.22,18.128,38.417,31.0119,40.075,25.67,52.521,38.81,37.155,32.172,27.3297,30.074,66.117,11.31,True,2026-01-19 15:58:32
2013,2012-13,20130317,3,"Louisville1 seed, 2012-13","Louisville1 seed, 2012-13",BE,34.0,29–514–4,112.621,83.51,0.96863,49.5121,44.017,18.71,27.62,38.415,33.7253,38.892,33.7121,49.586,42.727,33.1208,31.249,30.3256,33.519,67.5102,9.01,True,2026-01-19 15:58:32
2014,2013-14,20140316,23,"Connecticut7 seed, 2013-14","Connecticut7 seed, 2013-14",Amer,34.0,26–812–6,111.655,92.811,0.894023,51.488,43.98,17.6116,19.589,31.2183,33.4266,38.6232,35.573,48.0196,41.44,38.724,32.993,33.8151,31.6122,65.1246,4.817,True,2026-01-19 15:58:32
2015,2014-15,20150315,4,"Duke1 seed, 2014-15","Duke1 seed, 2014-15",ACC,33.0,29–415–3,124.62,93.132,0.96634,56.94,47.41,16.844,18.7194,37.416,30.1122,40.29,24.96,56.33,47.114,38.626,32.063,34.5166,27.714,66.879,10.64,True,2026-01-19 15:58:32
2016,2015-16,20160313,2,"Villanova2 seed, 2015-16","Villanova2 seed, 2015-16",BE,34.0,29–516–2,118.91,90.44,0.95912,54.326,46.329,16.461,20.45,28.621,28.712,34.324,31.461,56.46,43.925,34.4182,33.5109,43.824,37.5263,67.3256,9.02,True,2026-01-19 15:58:32
2017,2016-17,20170312,5,"North Carolina1 seed, 2016-17","North Carolina1 seed, 2016-17",ACC,33.0,26–714–4,121.08,93.122,0.95315,52.387,48.584,16.443,18.7162,42.01,25.127,33.1246,31.479,51.194,46.771,36.788,34.2117,30.0311,39.4277,72.738,8.35,True,2026-01-19 15:58:32
2018,2017-18,20180311,2,"Villanova1 seed, 2017-18","Villanova1 seed, 2017-18",BE,34.0,30–414–4,127.71,95.427,0.96632,59.71,49.28,14.68,18.5163,28.8171,26.778,28.6303,25.515,59.72,49.3151,39.818,32.844,46.616,35.5103,69.5167,10.62,True,2026-01-19 15:58:32
2019,2018-19,20190317,1,"Virginia1 seed, 2018-19","Virginia1 seed, 2018-19",ACC,32.0,29–316–2,122.63,88.76,0.97621,55.718,43.54,14.713,17.8223,30.0108,25.971,30.3257,27.945,52.283,45.522,40.94,27.21,38.7171,40.9261,61.0353,11.12,True,2026-01-19 15:58:32
2021,2020-21,20210314,3,"Baylor1 seed, 2020-21","Baylor1 seed, 2020-21",B12,24.0,22–213–1,123.33,93.537,0.96003,57.53,49.1129,17.6102,24.63,37.54,30.9277,27.0287,31.7175,54.133,48.1109,41.81,34.0179,39.2129,34.376,69.6152,6.75,True,2026-01-19 15:58:32
2022,2021-22,20220313,4,"Kansas1 seed, 2021-22","Kansas1 seed, 2021-22",B12,34.0,28–614–4,120.25,92.924,0.95114,54.127,46.942,17.8128,18.4165,33.434,28.9213,32.898,27.8103,54.529,47.9104,35.575,30.124,33.8275,34.267,70.169,10.41,True,2026-01-19 15:58:32
2023,2022-23,20230312,5,"Connecticut4 seed, 2022-23","Connecticut4 seed, 2022-23",BE,33.0,25–813–7,118.96,92.515,0.94755,53.542,45.511,18.9235,19.499,39.21,26.277,31.4179,38.7321,53.454,45.825,35.788,30.015,42.062,30.313,67.7187,5.013,True,2026-01-19 15:58:32
2024,2023-24,20240317,2,"Connecticut1 seed, 2023-24","Connecticut1 seed, 2023-24",BE,34.0,31–318–2,126.81,94.113,0.96862,57.16,45.13,14.95,16.2232,36.514,26.883,33.3161,32.5173,58.56,43.76,36.73,31.961,40.987,33.248,65.6324,11.21,True,2026-01-19 15:58:32
2025,2024-25,20250316,4,"Florida1 seed, 2024-25","Florida1 seed, 2024-25",SEC,34.0,30–414–4,126.84,94.214,0.96834,55.037,45.36,15.036,17.0184,38.18,28.8126,32.6188,33.0176,56.427,45.914,35.583,29.67,43.673,37.312,70.359,11.13,True,2026-01-19 15:58:32
