year,season,date,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd,adj_tempo,wab,is_marked_champion,scraped_at,efg_margin,ftr_margin,turnover_edge,rebounding_edge,efg_margin_mean,efg_margin_std,efg_margin_count,ftr_margin_mean,ftr_margin_std,turnover_edge_mean,turnover_edge_std,rebounding_edge_mean,rebounding_edge_std,efg_margin_z,ftr_margin_z,turnover_edge_z,rebounding_edge_z,four_factor_index_z,four_factor_score
2008,2007-08,20080316,1,"Kansas1 seed, 2007-08","Kansas1 seed, 2007-08",B12,33.0,30–313–3,121.11,85.93,0.98101,56.34,44.818,18.741,22.97,38.017,29.034,37.514,30.856,54.87,40.94,39.913,34.0106,29.2287,38.1283,69.591,9.93,True,2026-01-19 15:58:32,11.522000000000006,6.658000000000001,4.228999999999999,8.983000000000004,-0.24785278592375373,4.726697028827117,341,-0.293524926686217,7.708424447790133,-0.10494721407624635,3.1583413390342265,-0.2768460410557187,4.962079462343308,2.4900797986716596,0.9018087903396519,1.372222552550796,1.8661220787227828,1.8773969246120565,78.16095386918084
2009,2008-09,20090315,4,"North Carolina1 seed, 2008-09","North Carolina1 seed, 2008-09",ACC,31.0,27–413–3,121.81,93.138,0.95644,52.743,47.281,17.114,20.7162,40.58,31.9135,39.395,25.16,51.551,44.751,37.353,35.0215,27.7292,32.7162,74.57,7.75,True,2026-01-19 15:58:32,5.462000000000003,14.235000000000003,3.6022,8.6665,-0.22179244186046465,4.475304899357892,344,-0.36353575581395337,7.400788812833263,-0.1135645348837212,3.013129117821332,-0.23337558139534903,5.18183462909136,1.270034683597975,1.9725648339673618,1.2331912737846547,1.7175143975900964,1.348936478687697,70.23404718031546
2010,2009-10,20100314,2,"Duke1 seed, 2009-10","Duke1 seed, 2009-10",ACC,34.0,29–513–3,119.14,88.05,0.97012,50.394,43.913,16.415,21.975,40.48,32.5164,37.9162,34.5104,46.8206,44.444,38.227,28.23,32.8155,24.77,67.2182,8.43,True,2026-01-19 15:58:32,6.481000000000002,3.4058000000000064,5.560000000000002,7.9636,-0.2713904899135443,4.541523762228507,347,-0.3639593659942362,7.791818211791034,-0.08718270893371778,3.041217611482907,-0.21860345821325658,5.059012002059515,1.4868116613354845,0.48380997394030867,1.8568821539147065,1.6173520550815645,1.612860894597628,74.19291341896442
2011,2010-11,20110313,18,"Connecticut3 seed, 2010-11","Connecticut3 seed, 2010-11",BE,35.0,26–99–9,113.82,93.94,0.900518,48.1211,45.323,17.534,18.1281,39.57,34.7268,34.3263,27.415,47.5181,43.118,33.2221,33.5119,29.3258,31.1108,66.2194,6.81,True,2026-01-19 15:58:32,2.798099999999998,6.911300000000004,0.594100000000001,4.843200000000003,-0.22302956521739134,4.261840077476373,345,-0.3202942028985507,7.562018695029652,-0.07557478260869561,2.7908721699573547,-0.2089686956521745,5.213770870186748,0.7088791485123805,0.956304724246678,0.23995179349935236,0.9690047417582849,0.5657706315221184,58.48655947283177
2012,2011-12,20120311,1,"Kentucky1 seed, 2011-12","Kentucky1 seed, 2011-12",SEC,34.0,32–216–0,119.73,88.59,0.97021,53.425,41.61,17.22,18.128,38.417,31.0119,40.075,25.67,52.521,38.81,37.155,32.172,27.3297,30.074,66.117,11.31,True,2026-01-19 15:58:32,11.814999999999998,14.405000000000001,0.9080000000000013,7.405100000000001,-0.2218675362318843,4.623231242850966,345,-0.39716695652173917,7.850246830303851,-0.09176637681159401,3.044918027713406,-0.2605110144927536,5.090728217096591,2.603561644216874,1.8855670753410958,0.3283393404066034,1.5057985198951958,1.4893231295168838,72.33984694275325
2013,2012-13,20130317,3,"Louisville1 seed, 2012-13","Louisville1 seed, 2012-13",BE,34.0,29–514–4,112.621,83.51,0.96863,49.5121,44.017,18.71,27.62,38.415,33.7253,38.892,33.7121,49.586,42.727,33.1208,31.249,30.3256,33.519,67.5102,9.01,True,2026-01-19 15:58:32,5.495099999999994,5.1799000000000035,8.91,4.689700000000002,-0.20649740634005773,4.623542561855989,347,-0.2578553314121034,7.353936318635624,-0.07084092219020172,3.12975492275811,-0.21631296829971192,5.15068081806949,1.2331664151592254,0.7394346504785853,2.869502930368681,0.9524979593160892,1.8374216675098523,77.56132501264779
2014,2013-14,20140316,23,"Connecticut7 seed, 2013-14","Connecticut7 seed, 2013-14",Amer,34.0,26–812–6,111.655,92.811,0.894023,51.488,43.98,17.6116,19.589,31.2183,33.4266,38.6232,35.573,48.0196,41.44,38.724,32.993,33.8151,31.6122,65.1246,4.817,True,2026-01-19 15:58:32,7.508000000000003,3.0501999999999967,1.9773999999999994,-2.2083000000000013,-0.20668774928774925,4.269129686460803,351,-0.32787378917378895,8.017465413454532,-0.09037834757834745,2.82569862590548,-0.23109344729344722,4.885093222393124,1.8070867637856622,0.4213393653691179,0.7317759681168187,-0.4047428498688822,0.9931373943476937,64.8970609152154
2015,2014-15,20150315,4,"Duke1 seed, 2014-15","Duke1 seed, 2014-15",ACC,33.0,29–415–3,124.62,93.132,0.96634,56.94,47.41,16.844,18.7194,37.416,30.1122,40.29,24.96,56.33,47.114,38.626,32.063,34.5166,27.714,66.879,10.64,True,2026-01-19 15:58:32,9.530000000000001,15.329999999999998,1.875399999999999,7.303799999999995,-0.20698433048433024,4.622138049290245,351,-0.28325185185185153,7.4827274342708385,-0.0867521367521368,2.8070456776353194,-0.22707236467236477,5.194569159063267,2.1065974721329446,2.086572307891808,0.6990096927831508,1.4497588027166428,1.4385123107311515,71.57768466096726
2016,2015-16,20160313,2,"Villanova2 seed, 2015-16","Villanova2 seed, 2015-16",BE,34.0,29–516–2,118.91,90.44,0.95912,54.326,46.329,16.461,20.45,28.621,28.712,34.324,31.461,56.46,43.925,34.4182,33.5109,43.824,37.5263,67.3256,9.02,True,2026-01-19 15:58:32,7.997,2.8629999999999995,3.9890000000000008,-0.09100000000000108,-0.1911891737891739,4.332166705913488,351,-0.2993680911680914,7.109842731546301,-0.06307977207977178,2.6990496250698435,-0.20169800569800572,5.408389365719207,1.890090970555714,0.444787347705554,1.5012987291683888,0.020467832142348732,1.4019243608623195,71.02886541293479
2017,2016-17,20170312,5,"North Carolina1 seed, 2016-17","North Carolina1 seed, 2016-17",ACC,33.0,26–714–4,121.08,93.122,0.95315,52.387,48.584,16.443,18.7162,42.01,25.127,33.1246,31.479,51.194,46.771,36.788,34.2117,30.0311,39.4277,72.738,8.35,True,2026-01-19 15:58:32,3.8029999999999973,1.6456000000000017,2.273199999999999,16.883,-0.19119002849002864,4.51162564454325,351,-0.31373190883190866,6.786242723616367,-0.050187749287749335,2.7250340684094847,-0.1781250712250711,5.044165051955538,0.8853106049082207,0.2887211655447226,0.8526086980790797,3.3823486930925784,1.2038689631217039,68.05803444682556
2018,2017-18,20180311,2,"Villanova1 seed, 2017-18","Villanova1 seed, 2017-18",BE,34.0,30–414–4,127.71,95.427,0.96632,59.71,49.28,14.68,18.5163,28.8171,26.778,28.6303,25.515,59.72,49.3151,39.818,32.844,46.616,35.5103,69.5167,10.62,True,2026-01-19 15:58:32,10.43,3.1152999999999977,3.8363000000000014,2.0391000000000012,-0.19575641025641008,4.612529633856979,351,-0.23305698005697997,6.481950480328409,-0.06845584045584029,2.6831629753310215,-0.16988603988603976,4.935361666064779,2.303672226246749,0.5165662697082704,1.4552809040509782,0.447583417254886,1.6157210104125588,74.23581515618838
2019,2018-19,20190317,1,"Virginia1 seed, 2018-19","Virginia1 seed, 2018-19",ACC,32.0,29–316–2,122.63,88.76,0.97621,55.718,43.54,14.713,17.8223,30.0108,25.971,30.3257,27.945,52.283,45.522,40.94,27.21,38.7171,40.9261,61.0353,11.12,True,2026-01-19 15:58:32,12.178000000000004,2.380700000000001,3.1092999999999993,4.0398,-0.17335609065155802,4.3735990670810425,353,-0.24895779036827217,6.372863101210039,-0.08347875354107653,2.830471374918814,-0.17458583569405092,4.797023308530291,2.824071411487406,0.41263365438824035,1.1280024881483404,0.8785418716227276,1.7515667861859763,76.27350179278965
2021,2020-21,20210314,3,"Baylor1 seed, 2020-21","Baylor1 seed, 2020-21",B12,24.0,22–213–1,123.33,93.537,0.96003,57.53,49.1129,17.6102,24.63,37.54,30.9277,27.0287,31.7175,54.133,48.1109,41.81,34.0179,39.2129,34.376,69.6152,6.75,True,2026-01-19 15:58:32,8.417099999999998,-4.6888000000000005,7.0198,6.612299999999998,-0.3210060518731991,4.5786031856337015,347,-0.3227642651296828,6.623681446802776,-0.10231095100864557,3.031437100383109,-0.3674178674351585,5.6285699375589155,1.9084654637228189,-0.6591554515318344,2.349417360534567,1.240051726258238,1.8818960750649474,78.22844112597421
2022,2021-22,20220313,4,"Kansas1 seed, 2021-22","Kansas1 seed, 2021-22",B12,34.0,28–614–4,120.25,92.924,0.95114,54.127,46.942,17.8128,18.4165,33.434,28.9213,32.898,27.8103,54.529,47.9104,35.575,30.124,33.8275,34.267,70.169,10.41,True,2026-01-19 15:58:32,7.185000000000002,5.087700000000002,0.6036999999999999,4.512699999999999,-0.19309581005586635,4.344785052250859,358,-0.29634916201117334,6.131185379441084,-0.05506703910614487,2.8536227528833025,-0.19946955307262543,4.880478251470443,1.698149786773358,0.8781416363734189,0.23085288286285427,0.9655138923430079,0.9607572376952758,64.41135856542914
2023,2022-23,20230312,5,"Connecticut4 seed, 2022-23","Connecticut4 seed, 2022-23",BE,33.0,25–813–7,118.96,92.515,0.94755,53.542,45.511,18.9235,19.499,39.21,26.277,31.4179,38.7321,53.454,45.825,35.788,30.015,42.062,30.313,67.7187,5.013,True,2026-01-19 15:58:32,8.030999999999999,-7.314200000000003,0.5754999999999981,12.933,-0.19585867768595122,4.054157498419296,363,-0.19805537190082603,5.976277987734246,-0.07234683195592295,2.7590985348148194,-0.1818203856749311,4.8252611121140925,2.029240028512355,-1.1907318639970232,0.23480380413431018,2.717950403295156,1.2594866094767216,68.89229914215082
2024,2023-24,20240317,2,"Connecticut1 seed, 2023-24","Connecticut1 seed, 2023-24",BE,34.0,31–318–2,126.81,94.113,0.96862,57.16,45.13,14.95,16.2232,36.514,26.883,33.3161,32.5173,58.56,43.76,36.73,31.961,40.987,33.248,65.6324,11.21,True,2026-01-19 15:58:32,12.029999999999994,0.7988,1.2731999999999992,9.631000000000004,-0.17817403314917055,4.236319063888957,362,-0.18109281767955804,6.130486597042145,-0.05924447513812201,2.861643014332691,-0.22636187845303854,5.029473294544585,2.8817881394282927,0.15983932142553572,0.4656221857389277,1.9599193198113243,1.6495628308645365,74.74344246296805
2025,2024-25,20250316,4,"Florida1 seed, 2024-25","Florida1 seed, 2024-25",SEC,34.0,30–414–4,126.84,94.214,0.96834,55.037,45.36,15.036,17.0184,38.18,28.8126,32.6188,33.0176,56.427,45.914,35.583,29.67,43.673,37.312,70.359,11.13,True,2026-01-19 15:58:32,9.677,-0.3988000000000014,1.9824000000000002,9.3674,-0.2049266483516485,4.371004445258833,364,-0.21122142857142856,6.148970864577573,-0.06201895604395589,2.938298945769226,-0.2181766483516484,5.22513796187601,2.260790802688484,-0.030505685513840735,0.6957831703910377,1.8345116852972214,1.464426379640627,71.9663956946094
