year,efg_margin_mean,efg_margin_std,efg_margin_count,ftr_margin_mean,ftr_margin_std,turnover_edge_mean,turnover_edge_std,rebounding_edge_mean,rebounding_edge_std
2008,-0.24725249266862176,4.726629593873163,341,-0.293524926686217,7.708424447790128,-0.1030507331378302,3.1754793096996132,-0.2768460410557187,4.9620794623433095
2009,-0.22150116279069718,4.475381932278564,344,-0.36382616279069757,7.400701893972856,-0.11659418604651163,3.015319535262037,-0.23337558139534903,5.181834629091359
2010,-0.2713904899135443,4.541523762228507,347,-0.3639593659942362,7.791818211791035,-0.08718270893371778,3.0412176114829066,-0.21860345821325658,5.059012002059517
2011,-0.22302956521739134,4.261840077476374,345,-0.3202942028985507,7.562018695029648,-0.07557478260869561,2.7908721699573538,-0.2095426086956528,5.213199028757758
2012,-0.2218675362318843,4.623231242850963,345,-0.39716695652173917,7.850246830303851,-0.09176637681159401,3.044918027713407,-0.2605110144927536,5.090728217096595
2013,-0.20649740634005773,4.623542561855988,347,-0.2578553314121034,7.353936318635625,-0.07084092219020172,3.12975492275811,-0.21631296829971192,5.1506808180694925
2014,-0.20697236467236454,4.268887066418379,351,-0.32787378917378895,8.017465413454529,-0.09037834757834745,2.825698625905481,-0.23109344729344722,4.885093222393124
2015,-0.20698433048433024,4.622138049290243,351,-0.28325185185185153,7.482727434270834,-0.0867521367521368,2.8070456776353194,-0.22707236467236477,5.194569159063266
2016,-0.19094900284900285,4.334063709538049,351,-0.2990937321937322,7.111986291270376,-0.06308148148148102,2.700451529900472,-0.20138774928774933,5.412141832788652
2017,-0.19147663817663824,4.511750604179026,351,-0.31373190883190866,6.786242723616365,-0.050187749287749335,2.7250340684094843,-0.1781250712250711,5.04416505195554
2018,-0.1960356125356124,4.612218018977991,351,-0.23305698005697997,6.481950480328413,-0.06845584045584029,2.683162975331021,-0.16988603988603976,4.935361666064779
2019,-0.17335609065155802,4.373599067081044,353,-0.24924107648725238,6.372349490379583,-0.08347875354107653,2.8304713749188144,-0.1748691218130311,4.796804514718577
2021,-0.3210060518731991,4.5786031856337015,347,-0.3224757925072045,6.6230248516081565,-0.10231095100864557,3.0314371003831075,-0.3674178674351585,5.628569937558916
2022,-0.19309581005586635,4.344785052250858,358,-0.2966296089385476,6.131187939240791,-0.05506703910614487,2.8536227528833016,-0.19918938547486004,4.880610280886255
2023,-0.19558457300275556,4.054400622307839,363,-0.19777438016528887,5.97650676371386,-0.07234683195592295,2.7590985348148203,-0.1818203856749311,4.825261112114089
2024,-0.1778958563535905,4.236202003795784,362,-0.18081657458563538,6.130487285879354,-0.05924447513812201,2.8616430143326905,-0.22663784530386724,5.029351796371603
2025,-0.2049266483516485,4.371004445258833,364,-0.21122142857142856,6.148970864577571,-0.06201895604395589,2.9382989457692275,-0.2187263736263737,5.225532320008823
