date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-01-29,2026,1,29,1,Michigan,Michigan,B10,20.0,19-1,126.94,90.01,0.98111,72.79,7.44,59.06,43.52,17.0172,17.1169,35.646,27.753,41.753,26.017,64.51,41.82,34.5152,30.439,43.3109,43.1292
2026-01-29,2026,1,29,2,Arizona,Arizona,B12,21.0,21-0,126.46,91.43,0.97672,71.127,8.11,56.621,45.19,15.574,18.2105,39.47,25.312,43.73,27.73,57.433,43.64,36.354,31.984,27.4362,36.789
2026-01-29,2026,1,29,3,Houston,Houston,B12,20.0,18-2,126.47,93.36,0.97053,63.8333,5.48,52.4135,46.418,13.16,22.95,37.619,31.822,26.3354,39.2273,52.7141,46.325,34.614,31.16,42.3129,42.8283
2026-01-29,2026,1,29,4,Duke,Duke,ACC,20.0,19-1,125.014,93.89,0.96434,67.2187,7.52,57.714,45.914,16.4131,19.746,37.816,25.816,42.443,23.98,62.73,45.112,34.416,31.261,45.357,44.9324
2026-01-29,2026,1,29,5,Florida,Florida,SEC,21.0,15-6,124.417,93.88,0.96235,69.57,3.121,52.5132,46.418,16.9165,15.2292,43.52,22.92,40.173,35.4178,58.622,45.313,29.0344,32.511,40.3165,32.614
2026-01-29,2026,1,29,6,Illinois,Illinois,B10,20.0,17-3,131.21,99.132,0.96206,66.1238,5.29,56.23,46.826,14.431,11.7365,40.04,26.833,34.6199,19.41,58.425,46.426,36.065,31.675,50.216,40.7218
2026-01-29,2026,1,29,7,Vanderbilt,Vanderbilt,SEC,21.0,18-3,125.712,95.014,0.96157,70.246,5.011,57.017,46.929,13.16,18.684,30.1201,27.753,36.9154,40.6292,58.82,49.5102,36.45,28.78,44.386,40.2202
2026-01-29,2026,1,29,8,Connecticut,Connecticut,BE,21.0,20-1,120.44,91.64,0.95908,65.0297,7.53,54.852,44.04,16.3124,19.167,35.159,29.6126,32.7249,39.6284,55.861,44.69,35.3101,28.57,37.5225,33.929
2026-01-29,2026,1,29,9,Purdue,Purdue,B10,21.0,17-4,129.03,98.627,0.95679,65.0299,5.21,58.58,50.5147,13.913,16.2231,35.942,27.038,26.9343,22.93,59.216,51.9194,38.221,32.6113,38.4207,46.2344
2026-01-29,2026,1,29,10,Nebraska,Nebraska,B10,21.0,20-1,122.327,93.87,0.95501,66.8205,7.15,56.524,46.929,13.28,19.361,26.531,26.935,27.234,23.75,60.111,48.672,35.495,30.235,51.012,49.736
