Relative Ranking,Team,O-Rate,D-Rate,Relative Rating,Opponent Adjust,Pace Adjust,Off Rank,Def Rank,True Tempo,Tempo Rank,Injury Rank,Home Rank,Roster Rank,Kill Shots Per Game,Kill Shots Conceded Per Game,Kill Shots Margin Per Game,Total Kill Shots,Total Kill Shots Conceded,D1 Wins,D1 Losses,scrape_time_utc
1,Michigan,18.1,17.9,36.0,0.03,0.03,2,1,73.8,10,1,34,1,1.82,0.09,1.73,20,1,11,0,2025-12-22T19:23:32.624681
2,Arizona,16.6,16.3,32.8,0.03,-0.05,5,2,72.3,38,2,57,8,1.18,0.09,1.09,13,1,11,0,2025-12-22T19:23:32.624681
3,Iowa St.,16.5,16.0,32.5,0.03,0.03,6,3,71.0,95,3,153,11,1.42,0.17,1.25,17,2,12,0,2025-12-22T19:23:32.624681
4,Duke,16.8,15.0,31.8,-0.05,-0.05,4,5,69.5,199,4,299,3,1.50,0.33,1.17,18,4,11,1,2025-12-22T19:23:32.624681
5,Purdue,20.6,9.9,30.5,-0.05,0.03,1,21,66.3,350,5,228,2,1.42,0.42,1.00,17,5,11,1,2025-12-22T19:23:32.624681
6,Gonzaga,14.6,13.6,28.1,-0.05,-0.05,11,8,72.6,26,6,67,12,1.38,0.31,1.08,18,4,12,1,2025-12-22T19:23:32.624681
7,Connecticut,14.1,13.6,27.6,0.03,0.03,13,9,66.6,336,7,203,9,0.62,0.15,0.46,8,2,12,1,2025-12-22T19:23:32.624681
8,Vanderbilt,17.1,10.3,27.4,0.03,-0.05,3,18,72.0,47,8,300,10,1.17,0.08,1.08,14,1,12,0,2025-12-22T19:23:32.624681
9,Houston,11.8,15.6,27.4,-0.05,-0.05,24,4,66.3,348,9,38,6,1.25,0.25,1.00,15,3,11,1,2025-12-22T19:23:32.624681
10,BYU,14.8,11.9,26.7,-0.05,0.03,10,13,70.9,100,10,47,4,1.09,0.55,0.55,12,6,11,1,2025-12-22T19:23:32.624681
11,Florida,11.7,12.9,24.6,-0.05,-0.05,25,11,72.1,44,11,123,5,1.17,0.00,1.17,14,0,8,4,2025-12-22T19:23:32.624681
12,Michigan St.,10.0,14.4,24.4,0.03,-0.05,38,7,68.0,286,12,113,22,0.67,0.08,0.58,8,1,11,1,2025-12-22T19:23:32.624681
13,Tennessee,10.9,13.0,24.0,-0.05,0.03,30,10,68.3,274,13,11,23,0.92,0.00,0.92,11,0,9,3,2025-12-22T19:23:32.624681
14,Illinois,16.0,7.9,23.9,-0.05,0.03,8,32,69.9,168,14,180,13,1.00,0.18,0.82,11,2,8,3,2025-12-22T19:23:32.624681
15,Louisville,14.3,9.1,23.4,-0.05,-0.05,12,26,72.1,43,19,2,7,1.42,0.17,1.25,17,2,10,2,2025-12-22T19:23:32.624681
16,Kansas,8.7,14.6,23.3,-0.05,-0.05,49,6,68.6,250,17,25,17,0.50,0.08,0.42,6,1,9,3,2025-12-22T19:23:32.624681
17,Alabama,16.3,7.0,23.2,-0.05,0.03,7,44,75.3,3,15,301,15,0.50,0.33,0.17,6,4,9,3,2025-12-22T19:23:32.624681
18,Georgia,13.4,9.6,22.9,-0.05,-0.05,16,24,74.8,6,16,150,27,1.45,0.27,1.18,16,3,10,1,2025-12-22T19:23:32.624681
19,Iowa,12.8,9.6,22.5,-0.05,0.03,19,23,66.3,349,18,22,26,1.17,0.17,1.00,14,2,10,2,2025-12-22T19:23:32.624681
20,Nebraska,10.1,10.6,20.8,0.03,-0.05,36,16,69.7,189,20,76,40,1.17,0.42,0.75,14,5,12,0,2025-12-22T19:23:32.624681
21,Kentucky,9.2,11.4,20.6,-0.05,0.03,46,14,71.3,77,21,19,14,1.08,0.25,0.83,13,3,8,4,2025-12-22T19:23:32.624681
22,Arkansas,12.6,7.7,20.4,-0.05,0.03,20,34,72.2,41,22,161,16,1.08,0.17,0.92,13,2,9,3,2025-12-22T19:23:32.624681
23,North Carolina,9.9,10.2,20.1,0.03,0.03,41,19,69.3,206,23,93,28,0.92,0.25,0.67,11,3,11,1,2025-12-22T19:23:32.624681
24,St. John's,9.1,11.0,20.1,-0.05,0.03,47,15,72.4,30,24,143,24,0.64,0.27,0.36,7,3,7,4,2025-12-22T19:23:32.624681
25,UCLA,12.9,7.1,20.0,0.03,0.03,18,43,67.0,326,25,158,21,0.75,0.33,0.42,9,4,9,3,2025-12-22T19:23:32.624681
26,Texas Tech,13.7,5.9,19.6,-0.05,0.03,14,57,68.9,229,28,187,25,0.58,0.42,0.17,7,5,9,3,2025-12-22T19:23:32.624681
