date,team_name,conference,rank,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,opp_o,opp_d,ncsos_adj_em,created_at,year,month,day
2025-12-14,Michigan,B10,1,37.54,125.2,87.7,73.2,0.036,11.87,,,13.91,2025-12-14 21:17:30,2025,12,14
2025-12-14,Gonzaga,WCC,2,32.96,125.2,92.3,71.1,0.087,9.85,,,9.85,2025-12-14 21:17:30,2025,12,14
2025-12-14,Iowa St.,B12,3,32.69,123.6,90.9,70.1,0.052,0.46,,,0.46,2025-12-14 21:17:30,2025,12,14
2025-12-14,Duke,ACC,4,32.56,124.0,91.5,67.7,0.097,3.91,,,3.91,2025-12-14 21:17:30,2025,12,14
2025-12-14,Arizona,B12,5,32.37,125.0,92.6,71.7,0.054,8.99,,,8.99,2025-12-14 21:17:30,2025,12,14
2025-12-14,Purdue,B10,6,29.93,127.4,97.5,65.5,0.074,6.57,,,7.4,2025-12-14 21:17:30,2025,12,14
2025-12-14,Connecticut,BE,7,28.75,121.5,92.7,65.8,0.072,7.38,,,7.38,2025-12-14 21:17:30,2025,12,14
2025-12-14,Houston,B12,8,28.18,120.0,91.8,63.9,0.032,-0.84,,,-0.84,2025-12-14 21:17:30,2025,12,14
2025-12-14,BYU,B12,9,28.05,124.3,96.3,69.6,0.038,8.61,,,8.61,2025-12-14 21:17:30,2025,12,14
2025-12-14,Louisville,ACC,10,27.73,127.1,99.3,71.8,0.02,0.24,,,0.24,2025-12-14 21:17:30,2025,12,14
2025-12-14,Vanderbilt,SEC,11,27.38,125.8,98.4,71.3,0.032,-0.01,,,-0.01,2025-12-14 21:17:30,2025,12,14
2025-12-14,Michigan St.,B10,12,26.55,118.4,91.8,66.5,0.007,8.23,,,6.18,2025-12-14 21:17:30,2025,12,14
2025-12-14,Florida,SEC,13,26.37,120.0,93.6,71.4,-0.127,13.6,,,13.6,2025-12-14 21:17:30,2025,12,14
2025-12-14,Illinois,B10,14,26.3,126.0,99.7,68.4,-0.046,8.41,,,4.42,2025-12-14 21:17:30,2025,12,14
2025-12-14,Alabama,SEC,15,24.86,125.8,100.9,74.4,-0.006,16.15,,,16.15,2025-12-14 21:17:30,2025,12,14
2025-12-14,St. John's,BE,16,24.29,120.7,96.4,71.6,-0.108,8.34,,,8.34,2025-12-14 21:17:30,2025,12,14
2025-12-14,Kansas,B12,17,23.98,116.9,92.9,67.1,0.013,13.73,,,13.73,2025-12-14 21:17:30,2025,12,14
2025-12-14,Tennessee,SEC,18,23.09,119.1,96.0,67.8,-0.089,3.09,,,3.09,2025-12-14 21:17:30,2025,12,14
2025-12-14,Kentucky,SEC,19,22.78,119.2,96.4,69.4,-0.09,0.81,,,0.81,2025-12-14 21:17:30,2025,12,14
2025-12-14,Nebraska,B10,20,21.94,120.1,98.1,69.5,0.09,3.43,,,-0.77,2025-12-14 21:17:30,2025,12,14
2025-12-14,Georgia,SEC,21,21.76,120.9,99.2,74.8,0.008,-4.29,,,-4.29,2025-12-14 21:17:30,2025,12,14
2025-12-14,Virginia,ACC,22,21.51,122.9,101.4,67.8,-0.027,-2.87,,,-2.87,2025-12-14 21:17:30,2025,12,14
2025-12-14,Iowa,B10,23,21.5,119.5,98.0,64.0,0.005,2.35,,,-1.43,2025-12-14 21:17:30,2025,12,14
2025-12-14,Texas Tech,B12,24,21.38,120.9,99.5,67.5,0.028,8.57,,,8.57,2025-12-14 21:17:30,2025,12,14
2025-12-14,Arkansas,SEC,25,21.37,120.8,99.4,70.8,0.021,4.05,,,4.05,2025-12-14 21:17:30,2025,12,14
2025-12-14,Indiana,B10,26,21.17,117.9,96.7,69.3,-0.069,1.59,,,0.13,2025-12-14 21:17:30,2025,12,14
2025-12-14,North Carolina,ACC,27,21.09,118.8,97.7,68.9,0.079,0.09,,,0.09,2025-12-14 21:17:30,2025,12,14
2025-12-14,N.C. State,ACC,28,20.17,121.0,100.8,70.6,-0.111,6.46,,,6.46,2025-12-14 21:17:30,2025,12,14
2025-12-14,Auburn,SEC,29,20.07,122.9,102.8,69.1,0.068,7.82,,,7.82,2025-12-14 21:17:30,2025,12,14
2025-12-14,Clemson,ACC,30,19.82,119.5,99.7,65.3,-0.061,-0.04,,,-0.04,2025-12-14 21:17:30,2025,12,14
2025-12-14,UCLA,B10,31,19.73,119.1,99.4,65.3,-0.031,2.06,,,-2.16,2025-12-14 21:17:30,2025,12,14
2025-12-14,Saint Mary's,WCC,32,19.46,116.6,97.1,66.3,0.096,2.86,,,2.86,2025-12-14 21:17:30,2025,12,14
2025-12-14,Villanova,BE,33,19.21,120.1,100.9,65.0,0.012,-0.66,,,-0.66,2025-12-14 21:17:30,2025,12,14
2025-12-14,LSU,SEC,34,19.15,119.3,100.1,69.6,0.064,-0.97,,,-0.97,2025-12-14 21:17:30,2025,12,14
2025-12-14,Baylor,B12,35,19.11,123.2,104.1,70.7,0.027,4.55,,,4.55,2025-12-14 21:17:30,2025,12,14
2025-12-14,USC,B10,36,18.95,120.5,101.6,71.3,0.088,4.55,,,1.89,2025-12-14 21:17:30,2025,12,14
2025-12-14,Miami FL,ACC,37,18.55,116.5,97.9,70.7,-0.021,-4.73,,,-4.73,2025-12-14 21:17:30,2025,12,14
2025-12-14,Wisconsin,B10,38,18.26,119.0,100.7,71.1,0.042,3.98,,,-0.3,2025-12-14 21:17:30,2025,12,14
2025-12-14,Ohio St.,B10,39,17.88,119.0,101.1,69.9,0.02,-0.65,,,-6.22,2025-12-14 21:17:30,2025,12,14
2025-12-14,Utah St.,MWC,40,17.57,118.0,100.4,69.3,0.086,1.25,,,1.25,2025-12-14 21:17:30,2025,12,14
2025-12-14,Saint Louis,A10,41,17.38,116.4,99.0,72.7,-0.01,-3.78,,,-3.78,2025-12-14 21:17:30,2025,12,14
2025-12-14,SMU,ACC,42,16.8,118.7,101.9,70.3,0.098,3.5,,,3.5,2025-12-14 21:17:30,2025,12,14
2025-12-14,VCU,A10,43,16.55,114.5,97.9,70.9,-0.145,3.84,,,3.84,2025-12-14 21:17:30,2025,12,14
2025-12-14,Boise St.,MWC,44,16.37,114.0,97.6,67.4,-0.001,6.31,,,6.31,2025-12-14 21:17:30,2025,12,14
2025-12-14,San Diego St.,MWC,45,16.2,117.3,101.1,69.2,0.018,3.85,,,3.85,2025-12-14 21:17:30,2025,12,14
2025-12-14,Wake Forest,ACC,46,16.11,116.0,99.9,70.7,-0.03,2.03,,,2.03,2025-12-14 21:17:30,2025,12,14
2025-12-14,Washington,B10,47,16.04,117.1,101.1,68.1,-0.032,2.47,,,-2.77,2025-12-14 21:17:30,2025,12,14
2025-12-14,Oklahoma,SEC,48,15.98,120.3,104.3,67.6,-0.008,4.86,,,4.86,2025-12-14 21:17:30,2025,12,14
2025-12-14,Texas,SEC,49,15.96,119.8,103.8,68.6,-0.088,0.86,,,0.86,2025-12-14 21:17:30,2025,12,14
2025-12-14,Seton Hall,BE,50,15.93,111.6,95.6,66.7,-0.042,-4.84,,,-4.84,2025-12-14 21:17:30,2025,12,14
2025-12-14,Missouri,SEC,51,15.38,120.1,104.7,68.6,-0.002,-9.56,,,-9.56,2025-12-14 21:17:30,2025,12,14
2025-12-14,Butler,BE,52,15.3,119.0,103.7,70.2,-0.027,-0.35,,,-1.95,2025-12-14 21:17:30,2025,12,14
2025-12-14,UCF,B12,53,15.06,119.6,104.6,69.8,0.07,-1.08,,,-1.08,2025-12-14 21:17:30,2025,12,14
2025-12-14,Texas A&M,SEC,54,14.73,116.1,101.4,71.5,-0.019,-2.53,,,-2.53,2025-12-14 21:17:30,2025,12,14
2025-12-14,Oklahoma St.,B12,55,14.61,117.1,102.4,74.4,0.031,0.57,,,0.57,2025-12-14 21:17:30,2025,12,14
2025-12-14,TCU,B12,56,14.41,111.6,97.2,69.1,-0.099,1.39,,,1.39,2025-12-14 21:17:30,2025,12,14
2025-12-14,Mississippi,SEC,57,14.15,114.4,100.3,66.2,-0.101,0.35,,,0.35,2025-12-14 21:17:30,2025,12,14
2025-12-14,Northwestern,B10,58,14.06,118.0,104.0,67.7,-0.11,2.38,,,-3.01,2025-12-14 21:17:30,2025,12,14
2025-12-14,Notre Dame,ACC,59,14.02,115.5,101.5,66.1,-0.001,1.0,,,1.0,2025-12-14 21:17:30,2025,12,14
2025-12-14,Virginia Tech,ACC,60,13.49,115.9,102.4,69.9,0.081,0.41,,,0.41,2025-12-14 21:17:30,2025,12,14
2025-12-14,Colorado St.,MWC,61,13.41,122.4,109.0,63.4,-0.065,-2.86,,,-2.86,2025-12-14 21:17:30,2025,12,14
2025-12-14,Colorado,B12,62,13.4,119.3,105.9,69.7,0.017,-0.64,,,-0.64,2025-12-14 21:17:30,2025,12,14
2025-12-14,Arizona St.,B12,63,12.96,115.8,102.8,69.6,0.103,3.85,,,3.85,2025-12-14 21:17:30,2025,12,14
2025-12-14,Santa Clara,WCC,64,12.86,117.0,104.2,69.9,0.006,5.17,,,5.17,2025-12-14 21:17:30,2025,12,14
2025-12-14,Akron,MAC,65,12.85,122.6,109.7,72.4,-0.058,-2.31,,,-2.31,2025-12-14 21:17:30,2025,12,14
2025-12-14,George Mason,A10,66,12.59,112.9,100.3,66.1,0.003,-5.37,,,-5.37,2025-12-14 21:17:30,2025,12,14
2025-12-14,Providence,BE,67,12.55,119.6,107.0,72.6,-0.087,2.5,,,0.31,2025-12-14 21:17:30,2025,12,14
2025-12-14,Dayton,A10,68,12.54,112.7,100.2,69.5,0.01,-0.84,,,-0.84,2025-12-14 21:17:30,2025,12,14
2025-12-14,McNeese,Slnd,69,12.26,112.6,100.4,68.2,0.009,0.41,,,5.84,2025-12-14 21:17:30,2025,12,14
